symbol,kite_tradingsymbol,kite_instrument_token,breeze_stock_code,closing_price,avg_volume_per_minute,price_date,has_both_codes,kite_name
HAL,HAL,589569,HINAER,4151,2586.3,2026-02-10,True,HINDUSTAN AERONAUTICS
NCC,NCC,593665,NAGCON,157.9,8848.95,2026-02-10,True,NCC
RAILTEL,RAILTEL,622337,RAICOR,343.5,28687.54,2026-02-10,True,RAILTEL CORP OF IND
NOCIL,NOCIL,625153,NOCIL,152.04,1529.88,2026-02-10,True,NOCIL
MIDHANI,MIDHANI,630529,MISDHA,376.9,2273.05,2026-02-10,True,MISHRA DHATU NIGAM
ONGC,ONGC,633601,ONGC,271.6,34372.55,2026-02-10,True,OIL AND NATURAL GAS CORP.
LEMONTREE,LEMONTREE,667137,LEMTRE,132.4,16061.37,2026-02-10,True,LEMON TREE HOTELS
PFIZER,PFIZER,676609,PFIZER,4944.8,2480.62,2026-02-10,True,PFIZER
PCBL,PCBL,678145,PHICAR,293.75,4689.62,2026-02-10,True,PCBL CHEMICAL
PIDILITIND,PIDILITIND,681985,PIDIND,1475,1353.06,2026-02-10,True,PIDILITE INDUSTRIES
PRAJIND,PRAJIND,692481,PRAIN,336.5,115030.45,2026-02-10,True,PRAJ INDUSTRIES
MTARTECH,MTARTECH,693505,MTATEC,3645,2251.27,2026-02-10,True,MTAR TECHNOLOGIES
PRECWIRE,PRECWIRE,695553,PREWIR,258.9,1978.26,2026-02-10,True,PRECISION WIRES INDIA
LXCHEM,LXCHEM,727297,LAXORG,152.91,1555.77,2026-02-10,True,LAXMI ORGANIC INDUS
RAYMOND,RAYMOND,731905,RAYMON,420.45,1514.69,2026-02-10,True,RAYMOND
RCF,RCF,733697,RCF,136.51,1817.64,2026-02-10,True,RASHTRIYA CHEMICALS & FER
RELIANCE,RELIANCE,738561,RELIND,1456.2,26215.44,2026-02-10,True,RELIANCE INDUSTRIES
RICOAUTO,RICOAUTO,744705,RICAUT,126.3,27173.74,2026-02-10,True,RICO AUTO INDUSTRIES
KALYANKJIL,KALYANKJIL,756481,KALJEW,431.75,70891.28,2026-02-10,True,KALYAN JEWELLERS IND
SAIL,SAIL,758529,SAIL,160.7,75494.15,2026-02-10,True,STEEL AUTHORITY OF INDIA
ORIENTELEC,ORIENTELEC,760833,ORIELE,181,1974.48,2026-02-10,True,ORIENT ELECTRIC
NAZARA,NAZARA,764673,NAZTEC,277.1,4840.07,2026-02-10,True,NAZARA TECHNOLOGIES
JINDALSAW,JINDALSAW,774145,JINSAW,194,10193.48,2026-02-10,True,JINDAL SAW
SBIN,SBIN,779521,STABAN,1143,43872.07,2026-02-10,True,STATE BANK OF INDIA
SCI,SCI,780289,SCI,265.19,99365.03,2026-02-10,True,SHIPPING CORP OF INDIA LT
VEDL,VEDL,784129,VEDLIM,687.3,27090.25,2026-02-10,True,VEDANTA
LODHA,LODHA,824321,MACDEV,1095,2721.51,2026-02-10,True,LODHA DEVELOPERS
ISGEC,ISGEC,852225,ISGHEA,923,5220.2,2026-02-10,True,ISGEC HEAVY ENG
SUNPHARMA,SUNPHARMA,857857,SUNPHA,1706,4900.22,2026-02-10,True,SUN PHARMACEUTICAL IND L
SURYAROSNI,SURYAROSNI,864001,SURROS,250,3346.28,2026-02-10,True,SURYA ROSHNI
TATACHEM,TATACHEM,871681,TATCHE,717.75,2147.01,2026-02-10,True,TATA CHEMICALS
TATAPOWER,TATAPOWER,877057,TATPOW,369.3,5069.38,2026-02-10,True,TATA POWER CO
TATACONSUM,TATACONSUM,878593,TATGLO,1153,2547.08,2026-02-10,True,TATA CONSUMER PRODUCT
TMPV,TMPV,884737,TATMOT,378.6,23172.27,2026-02-10,True,TATA MOTORS PASS VEH
THOMASCOOK,THOMASCOOK,891137,THOCOO,115.6,2104.94,2026-02-10,True,THOMAS COOK (INDIA)
TATASTEEL,TATASTEEL,895745,TATSTE,207.89,209641.86,2026-02-10,True,TATA STEEL
TITAN,TITAN,897537,TITIND,4293.8,4388.36,2026-02-10,True,TITAN COMPANY
ADANIGREEN,ADANIGREEN,912129,ADAGRE,976,5363.03,2026-02-10,True,ADANI GREEN ENERGY
VOLTAS,VOLTAS,951809,VOLTAS,1479.9,3761.67,2026-02-10,True,VOLTAS
RITES,RITES,962817,RITLIM,228.1,1487.73,2026-02-10,True,RITES
WIPRO,WIPRO,969473,WIPRO,231.29,32021.0,2026-02-10,True,WIPRO
MARICO,MARICO,1041153,MARLIM,762.6,3903.88,2026-02-10,True,MARICO
MOTHERSON,MOTHERSON,1076225,MOTSUM,129.8,142091.84,2026-02-10,True,SAMVRDHNA MTHRSN INTL
HDFCAMC,HDFCAMC,1086465,HDFAMC,2812.3,2389.76,2026-02-10,True,HDFC AMC
SHRIRAMFIN,SHRIRAMFIN,1102337,SHRTRA,1048.6,11174.53,2026-02-10,True,SHRIRAM FINANCE
HERITGFOOD,HERITGFOOD,1177089,HERFOO,371.75,1894.76,2026-02-10,True,HERITAGE FOODS
BANKBARODA,BANKBARODA,1195009,BANBAR,289.55,19965.17,2026-02-10,True,BANK OF BARODA
SONACOMS,SONACOMS,1199105,SONBLW,530.5,3240.74,2026-02-10,True,SONA BLW PRECISION FRGS L
GAIL,GAIL,1207553,GAIL,164.3,36598.68,2026-02-10,True,GAIL (INDIA)
BANKINDIA,BANKINDIA,1214721,BANIND,167.22,16670.33,2026-02-10,True,BANK OF INDIA
CONCOR,CONCOR,1215745,CONCOR,513.85,4571.54,2026-02-10,True,CONTAINER CORP OF IND
RELINFRA,RELINFRA-BE,1226497,RELINF,119.86,3908.03,2026-02-10,True,RELIANCE INFRASTRUCTU
KIMS,KIMS,1240833,KRIINS,651.25,2757.2,2026-02-10,True,KRISHNA INST OF MED SCI L
INDSWFTLAB,INDSWFTLAB,1246721,INDLAB,135.11,1958.33,2026-02-10,True,IND SWIFT LABORATORIES LT
ENGINERSIN,ENGINERSIN,1256193,ENGIND,183.2,5922.31,2026-02-10,True,ENGINEERS INDIA
IPL,IPL,1263105,INDPES,175.3,1710.86,2026-02-10,True,INDIA PESTICIDES
ICICIBANK,ICICIBANK,1270529,ICIBAN,1404.1,42103.57,2026-02-10,True,ICICI BANK
IRCON,IRCON,1276417,IRCINT,159.25,14625.26,2026-02-10,True,IRCON INTERNATIONAL
CLEAN,CLEAN,1292545,CLESCI,796.8,1911.94,2026-02-10,True,CLEAN SCIENCE & TECH
ETERNAL,ETERNAL,1304833,ZOMLIM,303.95,264466.15,2026-02-10,True,ETERNAL - ZOMATO
KPIGREEN,KPIGREEN,1307649,KPIGLO,420.35,2786.0,2026-02-10,True,KPI GREEN ENERGY
GMDCLTD,GMDCLTD,1332225,GUJMI,605.95,13223.39,2026-02-10,True,GUJARAT MINERAL DEV CORP
INDUSINDBK,INDUSINDBK,1346049,INDBA,926.9,7188.3,2026-02-10,True,INDUSIND BANK
ROLEXRINGS,ROLEXRINGS,1351425,ROLRIN,132.2,4021.22,2026-02-10,True,ROLEX RINGS
DEVYANI,DEVYANI,1375489,DEVIN,136.5,13963.28,2026-02-10,True,DEVYANI INTERNATIONAL
CARTRADE,CARTRADE,1384193,CARTEC,2131,1762.76,2026-02-10,True,CARTRADE TECH
APTUS,APTUS,1391361,APTVAL,260.65,3798.54,2026-02-10,True,APTUS VALUE HSG FIN I
CHEMPLASTS,CHEMPLASTS,1394945,CHESAN,310,5558.31,2026-02-10,True,CHEMPLAST SANMAR
