Timestamp: 2026-02-01 10:21:24
symbol,kite_token,breeze_code,priority,rsi,timestamp
RITES,962817,RITLIM,5,90.88,2026-02-01 10:15:00
CONCOR,1215745,CONCOR,5,89.00,2026-02-01 10:15:00
KPIGREEN,1307649,KPIGLO,5,87.08,2026-02-01 10:15:00
JAICORPLTD,1316609,JAICOR,5,80.56,2026-02-01 10:15:00
GMDCLTD,1332225,GUJMI,5,80.82,2026-02-01 10:15:00
INDUSINDBK,1346049,INDBA,5,82.27,2026-02-01 10:15:00
AXISBANK,1510401,AXIBAN,5,81.28,2026-02-01 10:15:00
NYKAA,1675521,FSNECO,5,89.02,2026-02-01 10:15:00
JINDALSTEL,1723649,JINSP,5,82.58,2026-02-01 10:15:00
GLENMARK,1895937,GLEPHA,5,86.81,2026-02-01 10:15:00
BLUESTARCO,2127617,BLUSTA,5,87.83,2026-02-01 10:15:00
GMRP&UI,2183425,GMRPOW,5,85.61,2026-02-01 10:15:00
STLTECH,2383105,STETEC,5,83.33,2026-02-01 10:15:00
SKIPPER,2413569,SKILTD,5,82.15,2026-02-01 10:15:00
LICI,2426881,LIC,5,85.08,2026-02-01 10:15:00
PARADEEP,2493697,PARPHO,5,91.31,2026-02-01 10:15:00
BHARTIARTL,2714625,BHAAIR,5,88.87,2026-02-01 10:15:00
SYRMA,2763009,SYRTEC,5,89.57,2026-02-01 10:15:00
DREDGECORP,2885377,DRECOR,5,90.39,2026-02-01 10:15:00
JBMA,2983681,JBMAUT,5,81.65,2026-02-01 10:15:00
JSWSTEEL,3001089,JSWSTE,5,83.69,2026-02-01 10:15:00
KAYNES,3095553,KAYTEC,5,91.48,2026-02-01 10:15:00
SWSOLAR,3197185,STEWIL,5,93.84,2026-02-01 10:15:00
TRIVENI,3348737,TRIENG,5,84.63,2026-02-01 10:15:00
PFOCUS,3454977,PRIFOC,5,87.16,2026-02-01 10:15:00
IRCTC,3484417,INDRAI,5,82.77,2026-02-01 10:15:00
BANCOINDIA,3553281,BANPRO,5,81.57,2026-02-01 10:15:00
HBLENGINE,3575297,HBLPOW,5,81.64,2026-02-01 10:15:00
PFC,3660545,POWFIN,5,84.25,2026-02-01 10:15:00
INDIANB,3663105,INDIBA,5,88.59,2026-02-01 10:15:00
TIMETECHNO,3764993,TIMTEC,5,84.58,2026-02-01 10:15:00
KPRMILL,3817473,KPRMIL,5,82.99,2026-02-01 10:15:00
POWERGRID,3834113,POWGRI,5,94.77,2026-02-01 10:15:00
AVALON,3854849,AVATE,5,94.39,2026-02-01 10:15:00
ADANIPORTS,3861249,ADAPOR,5,81.05,2026-02-01 10:15:00
KNRCON,3912449,KNRCON,5,88.09,2026-02-01 10:15:00
RECLTD,3930881,RURELE,5,88.96,2026-02-01 10:15:00
TITAGARH,3945985,TITWAG,5,82.25,2026-02-01 10:15:00
YATHARTH,4540929,YATHOS,5,82.00,2026-02-01 10:15:00
AEROFLEX,4676609,AERIND,5,80.85,2026-02-01 10:15:00
RBLBANK,4708097,RBLBAN,5,87.72,2026-02-01 10:15:00
DIACABS,4747009,DIAPOW,5,82.19,2026-02-01 10:15:00
ICICIPRULI,4774913,ICIPRU,5,80.24,2026-02-01 10:15:00
JSWINFRA,4869121,JSWINF,5,83.94,2026-02-01 10:15:00
LAURUSLABS,4923905,LAULAB,5,81.25,2026-02-01 10:15:00
BLISSGVS,4931841,BLIGVS,5,86.90,2026-02-01 10:15:00
PRICOLLTD,5025537,PRILI,5,81.71,2026-02-01 10:15:00
ASHOKA,5166593,ASHBUI,5,88.55,2026-02-01 10:15:00
JWL,5177345,COMENG,5,89.83,2026-02-01 10:15:00
IREDA,5186817,INDREN,5,84.73,2026-02-01 10:15:00
PRESTIGE,5197313,PREEST,5,80.87,2026-02-01 10:15:00
JAMNAAUTO,5319169,JAMAUT,5,92.88,2026-02-01 10:15:00
HUDCO,5331201,HUDCO,5,88.29,2026-02-01 10:15:00
TEJASNET,5409537,TEJNET,5,88.53,2026-02-01 10:15:00
DIXON,5552641,DIXTEC,5,80.96,2026-02-01 10:15:00
EPACK,5750529,EPADUR,5,89.93,2026-02-01 10:15:00
BALUFORGE,6043393,BELAGR,5,90.12,2026-02-01 10:15:00
AGIIL,6257921,AGIINF,5,80.36,2026-02-01 10:15:00
RAYMONDLSL,6418689,RAYLIF,5,87.87,2026-02-01 10:15:00
KROSS,6464513,KROLIM,5,85.55,2026-02-01 10:15:00
SHAKTIPUMP,6546945,SHAPUM,5,91.79,2026-02-01 10:15:00
GARUDA,6604801,GAUCON,5,87.09,2026-02-01 10:15:00
ACMESOLAR,6927617,ACMSOL,5,92.71,2026-02-01 10:15:00
MOBIKWIK,7179777,ONEMOB,5,83.95,2026-02-01 10:15:00
STALLION,7476225,STLIND,5,83.69,2026-02-01 10:15:00
OSWALPUMPS,193741313,OSWPUM,5,88.22,2026-02-01 10:15:00
ABLBL,193751809,ADILIF,5,83.28,2026-02-01 10:15:00
BELRISE,193818113,BELLIM,5,83.79,2026-02-01 10:15:00
RMDRIP,194005505,RMDRI,5,83.08,2026-02-01 10:15:00
RAYMONDREL,194189057,RAYREA,5,83.96,2026-02-01 10:15:00
CANHLIFE,194426113,CANHSB,5,84.26,2026-02-01 10:15:00
LENSKART,194458881,LENSOL,5,82.43,2026-02-01 10:15:00
PWL,194489089,PHYLIM,5,84.82,2026-02-01 10:15:00
ADVENTHTL,194500865,ADHOIN,5,85.55,2026-02-01 10:15:00
KRISHNADEF,194865153,KRIDEF,5,83.81,2026-02-01 10:15:00

Timestamp: 2026-02-01 10:14:14

Timestamp: 2026-02-01 10:10:39

Timestamp: 2026-02-01 10:07:05

Timestamp: 2026-02-01 10:03:27

Timestamp: 2026-02-01 09:59:51

Timestamp: 2026-02-01 09:56:16

Timestamp: 2026-02-01 09:52:39

Timestamp: 2026-02-01 09:49:05

Timestamp: 2026-02-01 09:45:31

Timestamp: 2026-02-01 09:41:56

Timestamp: 2026-02-01 09:38:23

Timestamp: 2026-02-01 09:34:47

Timestamp: 2026-02-01 09:31:09

Timestamp: 2026-02-01 09:27:35

Timestamp: 2026-02-01 09:24:01

Timestamp: 2026-02-01 09:20:27

Timestamp: 2026-02-01 09:16:51

