Timestamp: 2026-02-01 11:37:22
symbol,kite_token,breeze_code,priority,rsi,timestamp
GEMAROMA,194422017,GEMARO,5,18.11,2026-02-01 10:51:00
PINELABS,194513921,PINLAB,5,21.25,2026-02-01 10:51:00
CSSL,194596609,CLESER,5,7.68,2026-02-01 10:51:00
LGEINDIA,194614529,LGELEC,5,19.88,2026-02-01 10:51:00
ICICIAMC,194664193,ICIAMC,5,21.77,2026-02-01 10:51:00
SHADOWFAX,194936065,SHATEC,5,15.27,2026-02-01 10:51:00

Timestamp: 2026-02-01 10:50:13
symbol,kite_token,breeze_code,priority,rsi,timestamp
AARTIIND,1793,AARIND,5,23.32,2026-02-01 10:48:00
GRAPHITE,151553,CAREVE,5,20.07,2026-02-01 10:48:00
GRASIM,315393,GRASIM,5,19.25,2026-02-01 10:48:00
INFY,408065,INFTEC,5,24.35,2026-02-01 10:48:00
IOC,415745,INDOIL,5,21.14,2026-02-01 10:48:00
RAMCOCEM,523009,RAMCEM,5,14.06,2026-02-01 10:48:00
MFSL,548353,MAXFIN,5,24.65,2026-02-01 10:48:00
MRPL,584449,MRPL,5,24.80,2026-02-01 10:48:00
NAZARA,764673,NAZTEC,5,22.26,2026-02-01 10:48:00
CUBEXTUB,1040385,CUBTUB,5,22.97,2026-02-01 10:48:00
CREDITACC,1131777,CREGRA,5,11.82,2026-02-01 10:48:00
GRSE,1401601,GARREA,5,14.00,2026-02-01 10:48:00
ACUTAAS,1427969,AMIORG,5,23.67,2026-02-01 10:48:00
STAR,1887745,STRSHA,5,21.61,2026-02-01 10:48:00
ZENTEC,1922049,ZENTEC,5,20.29,2026-02-01 10:48:00
GAEL,2259969,GUJAE,5,22.91,2026-02-01 10:48:00
GODREJCP,2585345,GODCON,5,24.99,2026-02-01 10:48:00
UNITDSPR,2674433,UNISPI,5,21.49,2026-02-01 10:48:00
GUJGASLTD,2713345,GUJGA,5,18.16,2026-02-01 10:48:00
RADICO,2813441,RADKHA,5,11.11,2026-02-01 10:48:00
JSL,2876417,JINSTA,5,21.06,2026-02-01 10:48:00
IGL,2883073,INDGAS,5,13.16,2026-02-01 10:48:00
ANANTRAJ,3486721,ANARAJ,5,24.39,2026-02-01 10:48:00
DCBBANK,3513601,DCB,5,24.02,2026-02-01 10:48:00
HUBTOWN,3635969,HUBLIM,5,22.93,2026-02-01 10:48:00
BAJAJELEC,3848705,BAJELE,5,22.69,2026-02-01 10:48:00
VGUARD,3932673,VGUARD,5,14.46,2026-02-01 10:48:00
